ambient_light,motion_detected,sin_hour,cos_hour,time_period,day_of_week,led_brightness
50,0,-0.866,0.5,0,0,20
75,1,-0.866,0.5,0,0,45
100,0,-0.707,0.707,0,1,25
80,1,-0.707,0.707,0,1,50
60,0,-0.5,0.866,0,2,15
90,1,-0.5,0.866,0,2,40
120,0,0,1,1,3,30
150,1,0,1,1,3,55
200,0,0.5,0.866,1,4,35
250,1,0.5,0.866,1,4,60
300,0,0.707,0.707,1,5,40
350,1,0.707,0.707,1,5,65
400,0,0.866,0.5,1,6,45
450,1,0.866,0.5,1,6,70
500,0,1,0,2,0,50
550,1,1,0,2,0,75
600,0,0.866,-0.5,2,1,55
650,1,0.866,-0.5,2,1,80
700,0,0.707,-0.707,2,2,60
750,1,0.707,-0.707,2,2,85
800,0,0.5,-0.866,2,3,65
850,1,0.5,-0.866,2,3,90
900,0,0,-1,2,4,70
950,1,0,-1,2,4,95
800,0,-0.5,-0.866,3,5,75
700,1,-0.5,-0.866,3,5,95
600,0,-0.707,-0.707,3,6,70
550,1,-0.707,-0.707,3,6,90
500,0,-0.866,-0.5,3,0,65
450,1,-0.866,-0.5,3,0,85
400,0,-1,0,3,1,60
350,1,-1,0,3,1,80
300,0,-0.866,0.5,3,2,55
250,1,-0.866,0.5,3,2,75
200,0,-0.707,0.707,3,3,50
150,1,-0.707,0.707,3,3,70
100,0,-0.5,0.866,4,4,30
80,1,-0.5,0.866,4,4,60
60,0,0,1,4,5,25
50,1,0,1,4,5,55
40,0,0.5,0.866,4,6,20
30,1,0.5,0.866,4,6,50
45,0,0.707,0.707,0,0,15
55,1,0.707,0.707,0,0,40
65,0,0.866,0.5,0,1,18
75,1,0.866,0.5,0,1,42
85,0,1,0,0,2,20
95,1,1,0,0,2,45
105,0,0.866,-0.5,1,3,28
115,1,0.866,-0.5,1,3,52
125,0,0.707,-0.707,1,4,32
135,1,0.707,-0.707,1,4,58
145,0,0.5,-0.866,1,5,35
155,1,0.5,-0.866,1,5,62
165,0,0,-1,1,6,38
175,1,0,-1,1,6,65
185,0,-0.5,-0.866,1,0,40
195,1,-0.5,-0.866,1,0,68
205,0,-0.707,-0.707,1,1,42
215,1,-0.707,-0.707,1,1,70
225,0,-0.866,-0.5,2,2,48
235,1,-0.866,-0.5,2,2,72
245,0,-1,0,2,3,50
255,1,-1,0,2,3,75
265,0,-0.866,0.5,2,4,52
275,1,-0.866,0.5,2,4,77
285,0,-0.707,0.707,2,5,55
295,1,-0.707,0.707,2,5,80
305,0,-0.5,0.866,2,6,58
315,1,-0.5,0.866,2,6,82
325,0,0,1,2,0,60
335,1,0,1,2,0,85
345,0,0.5,0.866,3,1,62
355,1,0.5,0.866,3,1,87
365,0,0.707,0.707,3,2,65
375,1,0.707,0.707,3,2,88
385,0,0.866,0.5,3,3,68
395,1,0.866,0.5,3,3,90
405,0,1,0,3,4,70
415,1,1,0,3,4,92
425,0,0.866,-0.5,3,5,72
435,1,0.866,-0.5,3,5,93
445,0,0.707,-0.707,3,6,74
455,1,0.707,-0.707,3,6,94
465,0,0.5,-0.866,3,0,76
475,1,0.5,-0.866,3,0,95
485,0,0,-1,4,1,35
495,1,0,-1,4,1,65
505,0,-0.5,-0.866,4,2,32
515,1,-0.5,-0.866,4,2,62
525,0,-0.707,-0.707,4,3,30
535,1,-0.707,-0.707,4,3,60
545,0,-0.866,-0.5,4,4,28
555,1,-0.866,-0.5,4,4,58
565,0,-1,0,4,5,25
575,1,-1,0,4,5,55
585,0,-0.866,0.5,4,6,22
595,1,-0.866,0.5,4,6,52
605,0,-0.707,0.707,4,0,20
615,1,-0.707,0.707,4,0,50
625,0,-0.5,0.866,0,1,18
635,1,-0.5,0.866,0,1,48
645,0,0,1,0,2,15
655,1,0,1,0,2,45
665,0,0.5,0.866,0,3,12
675,1,0.5,0.866,0,3,42
685,0,0.707,0.707,0,4,10
695,1,0.707,0.707,0,4,40
705,0,0.866,0.5,1,5,25
715,1,0.866,0.5,1,5,50
725,0,1,0,1,6,28
735,1,1,0,1,6,53
745,0,0.866,-0.5,2,0,45
755,1,0.866,-0.5,2,0,70
765,0,0.707,-0.707,2,1,48
775,1,0.707,-0.707,2,1,73
785,0,0.5,-0.866,2,2,50
795,1,0.5,-0.866,2,2,75
805,0,0,-1,2,3,52
815,1,0,-1,2,3,77
825,0,-0.5,-0.866,3,4,70
835,1,-0.5,-0.866,3,4,95
845,0,-0.707,-0.707,3,5,68
855,1,-0.707,-0.707,3,5,93
865,0,-0.866,-0.5,3,6,65
875,1,-0.866,-0.5,3,6,90
885,0,-1,0,4,0,40
895,1,-1,0,4,0,70
905,0,-0.866,0.5,4,1,38
915,1,-0.866,0.5,4,1,68
925,0,-0.707,0.707,4,2,35
935,1,-0.707,0.707,4,2,65
